Date_Ref;Exutoire;Client;Activité;Num Ticket;Num Bon;Chauffeur;Immatriculation;EXT_Matiere;Matiere_T;Verif_Tonnes;Verif_Matiere;Verif_Exutoire;Poids_Terrain;Poids_Facture;Ecart
;PICHETA;SITA -IDF;DECHETTERIE;LC25114662C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;8.5;-8.5
;PICHETA;SITA -IDF;DECHETTERIE;LC25114666C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;8.58;-8.58
;PICHETA;SITA -IDF;DECHETTERIE;LC25114707C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.38;-7.38
;PICHETA;SITA -IDF;DECHETTERIE;LC25114708C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;9.1;-9.1
;PICHETA;SITA -IDF;DECHETTERIE;LC25114712C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;6.22;-6.22
;PICHETA;SITA -IDF;DECHETTERIE;LC25114713C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.24;-7.24
;PICHETA;SITA -IDF;DECHETTERIE;LC25114754C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;5.32;-5.32
;PICHETA;SITA -IDF;DECHETTERIE;LC25114833C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;5.85;-5.85
;PICHETA;SITA -IDF;DECHETTERIE;LC25114836C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.1;-7.1
2025-11-14;PICHETA;SITA -IDF;DECHETTERIE;LC25114842C;11254185;CAUVIN;GX-651-JT;DEPOT GRAVAT CHANTIER;GRAVATS;OK;OK;OK;8.05;8.05;0.0
;PICHETA;SITA -IDF;DECHETTERIE;LC25114915C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.66;-7.66
;PICHETA;SITA -IDF;DECHETTERIE;LC25115478C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;4.35;-4.35
;PICHETA;SITA -IDF;DECHETTERIE;LC25115479C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;5.35;-5.35
;PICHETA;SITA -IDF;DECHETTERIE;LC25115481C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;4.4;-4.4
;PICHETA;SITA -IDF;DECHETTERIE;LC25115482C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.5;-7.5
2025-11-17;PICHETA;SITA -IDF;DECHETTERIE;LC25115521C;09251990;SIMEON;FG-254-YJ;DEPOT GRAVAT CHANTIER;GRAVATS;OK;OK;OK;7.38;7.38;0.0
;PICHETA;SITA -IDF;DECHETTERIE;LC25116695C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;6.85;-6.85
2025-11-19;PICHETA;SITA -IDF;DECHETTERIE;LC25116699C;11254808;BOUZIANE;GZ-534-BG;DEPOT GRAVAT CHANTIER;GRAVATS;OK;OK;OK;5.44;5.44;0.0
2025-11-19;PICHETA;SITA -IDF;DECHETTERIE;LC25116824C;11254812;SAHBE;EZ-978-DY;DEPOT GRAVAT CHANTIER;GRAVATS;OK;OK;OK;3.7;3.7;0.0
2025-11-20;PICHETA;SITA -IDF;DECHETTERIE;LC25117309C;11254943;BELGAID;EB-031-ZC;DEPOT GRAVAT CHANTIER;GRAVATS;OK;OK;OK;5.75;5.75;0.0
;PICHETA;SITA -IDF;DECHETTERIE;LC25117651C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.55;-7.55
;PICHETA;SITA -IDF;DECHETTERIE;LC25117652C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;8.4;-8.4
2025-11-21;PICHETA;SITA -IDF;DECHETTERIE;LC25117968C;11255104;*TAYEB;GX-651-JT;DEPOT GRAVAT CHANTIER;GRAVATS;OK;OK;OK;6.45;6.45;0.0
;PICHETA;SITA -IDF;DECHETTERIE;LC25118174C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.85;-7.85
